cell_id,cellname,q1X,q1Y,q1Z,q2X,q2Y,q2Z,q3X,q3Y,q3Z,q4X,q4Y,q4Z,q5X,q5Y,q5Z,q6X,q6Y,q6Z,q7X,q7Y,q7Z,q8X,q8Y,q8Z,mptX,mptY,mptZ,UTMzone,q1Lat,q1Lon,q2Lat,q2Lon,q3Lat,q3Lon,q4Lat,q4Lon,q5Lat,q5Lon,q6Lat,q6Lon,q7Lat,q7Lon,q8Lat,q8Lon,mptLat,mptLon
0,c.0,120.0,2400.0,0.0,135.0,2400.0,0.0,120.0,2415.0,0.0,135.0,2415.0,0.0,120.0,2400.0,50.0,135.0,2400.0,50.0,120.0,2415.0,50.0,135.0,2415.0,50.0,127.5,2407.5,25.0,51N,21.66277848035106,119.32903355664142,21.665918795524707,119.47372701589703,21.79802170260389,119.32559354434767,21.801183576110827,119.47042189325232,21.66277848035106,119.32903355664142,21.665918795524707,119.47372701589703,21.79802170260389,119.32559354434767,21.801183576110827,119.47042189325232,21.731991739533957,119.39969400252313
1,c.1,120.0,2415.0,0.0,135.0,2415.0,0.0,120.0,2430.0,0.0,135.0,2430.0,0.0,120.0,2415.0,50.0,135.0,2415.0,50.0,120.0,2430.0,50.0,135.0,2430.0,50.0,127.5,2422.5,25.0,51N,21.79802170260389,119.32559354434767,21.801183576110827,119.47042189325232,21.93326219154568,119.32212666723103,21.936445662543353,119.46709095721708,21.79802170260389,119.32559354434767,21.801183576110827,119.47042189325232,21.93326219154568,119.32212666723103,21.936445662543353,119.46709095721708,21.867244493818962,119.39630826550045
2,c.2,120.0,2430.0,0.0,135.0,2430.0,0.0,120.0,2445.0,0.0,135.0,2445.0,0.0,120.0,2430.0,50.0,135.0,2430.0,50.0,120.0,2445.0,50.0,135.0,2445.0,50.0,127.5,2437.5,25.0,51N,21.93326219154568,119.32212666723103,21.936445662543353,119.46709095721708,22.068499931741098,119.31863281137127,22.07170503973214,119.46373409828958,21.93326219154568,119.32212666723103,21.936445662543353,119.46709095721708,22.068499931741098,119.31863281137127,22.07170503973214,119.46373409828958,22.002494526931525,119.39289613351556
3,c.3,120.0,2445.0,0.0,135.0,2445.0,0.0,120.0,2460.0,0.0,135.0,2460.0,0.0,120.0,2445.0,50.0,135.0,2445.0,50.0,120.0,2460.0,50.0,135.0,2460.0,50.0,127.5,2452.5,25.0,51N,22.068499931741098,119.31863281137127,22.07170503973214,119.46373409828958,22.203734907776806,119.31511186170955,22.206961692611248,119.46035120587338,22.068499931741098,119.31863281137127,22.07170503973214,119.46373409828958,22.203734907776806,119.31511186170955,22.206961692611248,119.46035120587338,22.137741823622154,119.38945749429915
4,c.4,120.0,2460.0,0.0,135.0,2460.0,0.0,120.0,2475.0,0.0,135.0,2475.0,0.0,120.0,2460.0,50.0,135.0,2460.0,50.0,120.0,2475.0,50.0,135.0,2475.0,50.0,127.5,2467.5,25.0,51N,22.203734907776806,119.31511186170955,22.206961692611248,119.46035120587338,22.33896710426133,119.3115637020384,22.342215606138847,119.45694216826784,22.203734907776806,119.31511186170955,22.206961692611248,119.46035120587338,22.33896710426133,119.3115637020384,22.342215606138847,119.45694216826784,22.272986368664423,119.3859922344604
5,c.5,120.0,2475.0,0.0,135.0,2475.0,0.0,120.0,2490.0,0.0,135.0,2490.0,0.0,120.0,2475.0,50.0,135.0,2475.0,50.0,120.0,2490.0,50.0,135.0,2490.0,50.0,127.5,2482.5,25.0,51N,22.33896710426133,119.3115637020384,22.342215606138847,119.45694216826784,22.474196505824985,119.30798821499177,22.47746676529717,119.45350687265838,22.33896710426133,119.3115637020384,22.342215606138847,119.45694216826784,22.474196505824985,119.30798821499177,22.47746676529717,119.45350687265838,22.408228146854885,119.38250023947711
6,c.6,120.0,2490.0,0.0,135.0,2490.0,0.0,120.0,2505.0,0.0,135.0,2505.0,0.0,120.0,2490.0,50.0,135.0,2490.0,50.0,120.0,2505.0,50.0,135.0,2505.0,50.0,127.5,2497.5,25.0,51N,22.474196505824985,119.30798821499177,22.47746676529717,119.45350687265838,22.609423097119777,119.30438528203494,22.612715155092445,119.45004520510678,22.474196505824985,119.30798821499177,22.47746676529717,119.45350687265838,22.609423097119777,119.30438528203494,22.612715155092445,119.45004520510678,22.54346714301298,119.37898139368588
7,c.7,120.0,2505.0,0.0,135.0,2505.0,0.0,120.0,2520.0,0.0,135.0,2520.0,0.0,120.0,2505.0,50.0,135.0,2505.0,50.0,120.0,2520.0,50.0,135.0,2520.0,50.0,127.5,2512.5,25.0,51N,22.609423097119777,119.30438528203494,22.612715155092445,119.45004520510678,22.744646862819298,119.3007547834541,22.747960760554808,119.44655705054117,22.609423097119777,119.30438528203494,22.612715155092445,119.45004520510678,22.744646862819298,119.3007547834541,22.747960760554808,119.44655705054117,22.678703341980942,119.37543558027204
8,c.8,120.0,2520.0,0.0,135.0,2520.0,0.0,120.0,2535.0,0.0,135.0,2535.0,0.0,120.0,2520.0,50.0,135.0,2520.0,50.0,120.0,2535.0,50.0,135.0,2535.0,50.0,127.5,2527.5,25.0,51N,22.744646862819298,119.3007547834541,22.747960760554808,119.44655705054117,22.879867787618654,119.2970965983459,22.88320356673822,119.44304229274621,22.744646862819298,119.3007547834541,22.747960760554808,119.44655705054117,22.879867787618654,119.2970965983459,22.88320356673822,119.44304229274621,22.813936728623748,119.37186268125953
9,c.9,120.0,2535.0,0.0,135.0,2535.0,0.0,120.0,2550.0,0.0,135.0,2550.0,0.0,120.0,2535.0,50.0,135.0,2535.0,50.0,120.0,2550.0,50.0,135.0,2550.0,50.0,127.5,2542.5,25.0,51N,22.879867787618654,119.2970965983459,22.88320356673822,119.44304229274621,23.01508585623428,119.29341060460712,23.01844355872041,119.43950081435274,22.879867787618654,119.2970965983459,22.88320356673822,119.44304229274621,23.01508585623428,119.29341060460712,23.01844355872041,119.43950081435274,22.94916728782898,119.36826257750057
