row,col,data
1,284,9.226143637857938
1,311,11.006379001054414
1,312,5.703155362916024
1,339,16.709534363970246
1,366,13.266674611067488
1,367,3.442859752902951
1,394,16.709534363970437
1,421,10.118476840445318
2,203,2.3284492882458934
2,230,15.80586181529433
2,257,12.374196102865406
2,258,3.431665712428786
2,285,15.805861815294191
2,312,15.805861815294191
2,339,14.74644858459024
2,340,1.0594132307039528
2,367,15.80586181529433
2,394,15.805861815294191
2,421,9.571256938564574
3,421,2.50176192428288
3,422,14.268360332840647
3,449,2.2355472993488434
3,450,16.50390763218949
3,451,15.611648133708846
4,365,1.006400387495407
4,392,10.986617189160553
4,393,17.179395011478366
4,420,1.342080810659076
4,421,15.713878735070944
5,421,2.293101039452713
5,422,15.127389772411455
5,423,15.127389772411455
5,424,15.127389772411455
5,425,15.127389772411455
5,426,15.127389772411455
5,427,10.685687203162038
6,394,5.101133229845827
6,421,12.380931863721134
7,321,1.558942932318665
7,346,15.740152422671118
7,347,16.838787274461186
7,348,1.1356538778093377
7,371,15.777171448689984
7,372,16.838787274461186
7,373,1.0986348517900666
7,396,15.81419047470885
7,397,16.838787274461186
7,398,1.0616158257712005
7,421,2.5525250015445917
7,422,16.838787274461186
7,423,1.0245967997523344
8,421,2.9946618019051585
8,422,16.00500564442256
9,421,2.332054024629463
9,422,15.384359255844357
9,423,12.858789671622903
9,450,2.5255695842214547
9,451,15.384359255844357
9,452,15.384359255844357
9,453,15.38435925584437
9,454,15.384359255844357
9,455,9.609548540815817
10,373,10.038331413573141
10,374,15.683134142878608
10,375,15.68313414287859
10,376,2.6590820044706365
10,396,1.1426473768535104
10,397,15.68313414287859
10,398,15.683134142878608
10,399,15.68313414287859
10,400,5.64480272930545
10,421,2.3773441251906324
10,422,15.68313414287859
10,423,14.540486766025097
11,319,2.9154226623060384
11,344,0.8138048465380925
11,345,17.87134595552965
11,346,9.478037238546587
11,370,11.105646931623154
11,371,17.057541108991558
11,395,3.5261430611785936
11,396,17.87134595552965
11,397,6.765699023906467
11,421,2.7090464781824277
11,422,14.345202894351026
12,290,11.252661286193236
12,291,3.121734045868819
12,316,6.4286198262120795
12,317,12.9005370625589
12,342,1.6045783662309243
12,343,17.724578522540057
12,369,19.32915688877098
12,395,16.10969379502075
12,396,3.2194630937502313
12,421,3.661287576567947
12,422,8.043504553731388
13,314,13.209240420908825
13,341,15.254005080230824
13,367,6.9236232783594325
13,368,8.33038180187136
13,394,15.254005080230824
13,421,9.237079488053274
14,281,2.9116766965609995
14,282,15.69125956248236
14,309,6.827844858896081
14,310,13.47171948153912
14,337,9.047384939839322
14,338,11.252179400595574
14,365,11.266925020782868
14,366,9.032639319652334
14,393,13.48646510172611
14,394,6.813099238709093
14,421,12.292423425796603
15,332,2.9193771752229027
15,333,10.257533145464375
15,360,5.755157629912009
15,361,16.012690775376385
15,362,16.012690775376402
15,363,6.515921919483075
15,390,9.496768855893311
15,391,16.012690775376402
15,392,16.012690775376385
15,393,2.7743106935013477
15,420,13.238380081875054
15,421,13.585390466871333
16,231,2.8257588888112353
16,258,15.283274157409663
16,285,4.734287332836762
16,286,10.548986824572973
16,313,15.283274157409734
16,340,15.283274157409663
16,367,15.283274157409734
16,394,15.283274157409663
16,421,9.25480340980508
17,260,5.012024866536624
17,287,15.142871765684099
17,314,15.142871765684074
17,340,3.639783432114078
17,341,11.503088333569996
17,367,15.142871765684074
17,394,15.142871765684074
17,421,9.169782587675979
18,179,1.0900697541368216
18,206,15.06357576616914
18,233,15.06357576616914
