cellid,cellname,mptLat,mptLon,mptX,mptY,mptZ,UTMzone,c_a_erg,c_cap_mean,c_cap_med,c_cap_sig
40,c.40,23.49342699,119.5002061,142.5,2602.5,25,51N,-0.008798,-1.9081682129813036,-1.3939753143654776,1.713188333182969
41,c.41,23.62866486,119.4966177,142.5,2617.5,25,51N,-0.008798,-0.34897480043337853,-0.2625651704398968,0.2686280446598278
65,c.65,23.22612972,119.6536521,157.5,2572.5,25,51N,-0.008798,-0.4176015983531257,-0.3972765998388289,0.20427227723401634
67,c.67,23.49665548,119.6468512,157.5,2602.5,25,51N,-0.008798,-1.6013289785702605,-1.762318316267712,1.6546261709524608
68,c.68,23.63191414,119.6434125,157.5,2617.5,25,51N,-0.008798,-0.542761573640709,-0.35282601555049603,0.48036351444347203
92,c.92,23.22918088,119.8000266,172.5,2572.5,25,51N,-0.008798,-0.7149940942302004,-0.6285934324149975,0.5553183368985626
93,c.93,23.36446499,119.7967865,172.5,2587.5,25,51N,-0.008798,-3.3031259373275432,-2.0781594649443202,2.85411195994897
94,c.94,23.49974633,119.793522,172.5,2602.5,25,51N,-0.008798,-0.9642701908376653,-0.22823810285407703,1.0400469575506983
95,c.95,23.6350249,119.790233,172.5,2617.5,25,51N,-0.008798,-1.4418150999897164,-1.3287295144461369,1.3292202532000166
118,c.118,23.0967903,119.9494947,187.5,2557.5,25,51N,-0.008798,-0.4146382193011444,-0.22629295171266683,0.4365234370290494
119,c.119,23.23209607,119.9464254,187.5,2572.5,25,51N,-0.008798,-0.6989751382410112,-0.21780242429222774,1.1457788239684923
120,c.120,23.36739913,119.9433329,187.5,2587.5,25,51N,-0.008798,-1.2277747103607928,-0.5698300712502539,1.4269907321858664
121,c.121,23.50269945,119.9402172,187.5,2602.5,25,51N,-0.008798,-1.4726912756726749,-1.13897889204031,1.376697010189501
122,c.122,23.63799704,119.9370781,187.5,2617.5,25,51N,-0.008798,-0.8118803015903397,-0.3740010819683541,1.213456996367586
144,c.144,22.96422495,120.0986707,202.5,2542.5,25,51N,-0.008798,-0.3790412247627247,-0.4345330271863655,0.20439644287810077
145,c.145,23.09955141,120.09577,202.5,2557.5,25,51N,-0.008798,-0.5062848849420352,-0.3538662989548008,0.3841578816063043
146,c.146,23.23487521,120.0928473,202.5,2572.5,25,51N,-0.008798,-1.7870940200478773,-2.1006819524740403,1.1169760621655431
147,c.147,23.37019632,120.0899026,202.5,2587.5,25,51N,-0.008798,-1.1630613078563656,-0.5576535746351212,1.1029336053327257
148,c.148,23.50551474,120.0869358,202.5,2602.5,25,51N,-0.008798,-1.3438721640081934,-1.27813033928432,1.1681084976918719
149,c.149,23.64083046,120.0839466,202.5,2617.5,25,51N,-0.008798,-0.34206049743178324,-0.17307738968625577,0.33300353735758426
168,c.168,22.56078732,120.2529632,217.5,2497.5,25,51N,-0.008798,-0.8924072824551545,-0.4559053122512431,1.0524889150403007
169,c.169,22.6961387,120.2502702,217.5,2512.5,25,51N,-0.008798,-2.040077966150749,-0.7471262494662284,2.134075789902405
170,c.170,22.8314875,120.2475566,217.5,2527.5,25,51N,-0.008798,-0.3694015285746647,-0.19650461006806158,0.4008814108183363
171,c.171,22.96683369,120.2448223,217.5,2542.5,25,51N,-0.008798,-0.9731435402109316,-0.93156792294506,1.1871640805336792
172,c.172,23.10217726,120.2420672,217.5,2557.5,25,51N,-0.008798,-0.49490117699057123,-0.34292743180983815,0.4447587676837666
173,c.173,23.2375182,120.2392913,217.5,2572.5,25,51N,-0.008798,-0.925703283001235,-0.316379121792979,1.486036740734959
