,dc_0,ell_1e,ell_1as,omega_1e,omega_1as,omega_1bs,phi_0,tau_0
prc_0.05,-1.2840604112738114,0.23209792939737361,0.03360895406503141,0.16442902190865316,1.580477436458755,0.1510309394250119,0.15471883646047427,0.2834068145096515
prc_0.25,-0.7059518869685171,0.4749990212580737,0.048905573200591926,0.25524658101478437,12.010621530453045,0.21071074762468284,1.616293024023371,0.3241848541730291
prc_0.50,-0.49838941567281947,0.8933731345337406,0.08366030578517855,0.330835874153936,17.88078207431993,0.34805759832807326,2.8673823932127993,1.7512185194267305
prc_0.75,-0.41058666440489755,1.8343340366614747,1.4068198932406735,2.0543492522380387,53.25147071275222,0.6243323971620378,3.6605896325622522,4.187850476034175
prc_0.95,-0.1917573001829303,3.6449954950783767,5.287331076988959,7.088939066179023,152.18319909044274,1.1007960497534315,3.7485174306052236,7.257423389758782
mean,-0.6181491357005955,1.4159599233858078,1.3720651606560867,1.9787599590988871,47.381310168885314,0.4869855464586476,2.409500263372822,2.760816810780474
