Inference for Stan model: anon_model_2bcafdf2c8909f974977673c3a5d5c71.
4 chains, each with iter=20; warmup=10; thin=1; 
post-warmup draws per chain=10, total post-warmup draws=40.

               mean se_mean     sd    2.5%     25%     50%     75%    97.5%  n_eff   Rhat
dc_1bs[50]    -0.24     nan   1.23   -1.99   -1.63    0.59    0.82     0.98    nan   2.22
dc_1bs[51]      0.2     0.5   0.89   -1.18   -0.16     0.3    0.57     1.72      3   2.14
dc_1bs[52]    -0.71     nan   1.23   -1.84   -1.72   -1.27    1.05     1.15    nan   2.95
dc_1bs[53]    -0.39     nan   0.56   -1.12   -0.99   -0.25   -0.05     0.63    nan    3.0
dc_1bs[54]    -0.13     nan   1.06   -1.89    -0.5   -0.18    0.95     1.29    nan   2.81
dc_1bs[55]     0.13     nan   1.33   -1.74   -1.09    0.17     1.3     1.98    nan   8.03
dc_1bs[56]    -0.79     nan   1.03   -2.12   -1.82   -0.32    0.25     0.79    nan    2.6
dc_1bs[57]    -0.17    0.89   1.38   -2.19   -0.64   -0.42    1.29     1.88      2   3.08
dc_1bs[58]     0.26     nan   0.94   -0.65   -0.57   -0.04    1.19      1.8    nan   4.96
dc_1bs[59]     0.27    0.53    0.8   -0.92   -0.58    0.51    0.97     1.27      2   5.74
dc_1bs[60]    -0.52     nan   1.16   -1.65   -1.48   -1.14   -0.04     1.75    nan   3.11
dc_1bs[61]     0.58     nan   0.55   -0.39    0.15    0.54    0.97     1.45    nan    4.0
dc_1bs[62]      0.5     nan    0.5   -0.31    0.22    0.48    1.01     1.22    nan   2.61
dc_1bs[63]    -0.29     nan   0.78   -1.46   -1.07   -0.19    0.43      0.9    nan   2.92
dc_1bs[64]     0.33     nan   1.07   -1.27   -1.03    0.76    1.21     1.49    nan   2.54
dc_1bs[65]    -1.33     nan   0.57   -1.94   -1.76   -1.34   -1.11     0.14    nan    1.5
dc_1bs[66]     -0.6     nan   1.03   -1.54   -1.52   -0.96    0.06     1.22    nan   4.11
dc_1bs[67]    -0.06     nan   0.59   -0.87    -0.4   -0.27    0.54     0.96    nan    4.0
dc_1bs[68]     1.24    0.33   0.63   -0.48    0.75    1.23    1.82     1.97      4   1.74
