prc,dc_0,ell_1e,ell_1as,omega_1e,omega_1as,omega_1bs,mu_cap,ell_ca1p,omega_ca1p,omega_ca2p,phi_0,tau_0
0.01,-1.480529411620581,1.0589198400860285,0.21008004830636434,0.01672197724382237,0.01549848401245358,0.5232875551264086,-4.841874850047445,0.17847204126875965,0.01715152380746044,0.0008970547778999484,0.5285619596278399,0.6396453893258732
0.02,-1.480529411620581,1.0589198400860285,0.24042132579594166,0.02675962766437723,0.028634715806396777,0.556240726350105,-4.841874850047445,0.17853975048219362,0.02833739454054414,0.0012613423581928432,0.5590647255302333,0.6934121479606463
0.03,-1.480529411620581,1.0589198400860285,0.2653034044946963,0.03606275337205294,0.043840871669273106,0.5978792618628703,-4.841874850047445,0.17881819580402203,0.037195162165516896,0.002428109699288499,0.5939657332120472,0.7351123471544712
0.04,-1.480529411620581,1.0589198400860285,0.28312063769944507,0.044415317686590926,0.061725752797827604,0.6507576805732539,-4.841874850047445,0.17936935844259616,0.04304009047411081,0.004633380260246553,0.6345585831966403,0.7611969988364804
0.05,-1.480529411620581,1.0589198400860285,0.3009378709041938,0.05276788200112891,0.07961063392638211,0.7036360992836376,-4.841874850047445,0.17992052108117032,0.048885018782704716,0.006838650821204607,0.6751514331812334,0.7872816505184896
0.060000000000000005,-1.480529411620581,1.0589198400860285,0.3032221315714693,0.060379098872530186,0.08751443777506855,0.7154509584861491,-4.841874850047445,0.2312285861863818,0.051771327528007956,0.007325093620829908,0.7490787092431686,0.8051177802078103
0.06999999999999999,-1.480529411620581,1.0589198400860285,0.3032221315714693,0.06788129406111722,0.09395043614142146,0.721227058937503,-4.841874850047445,0.2900009016543339,0.05422254516106256,0.007558767632023922,0.8279081067870656,0.8217408919570297
0.08,-1.480529411620581,1.0589198400860285,0.3032221315714693,0.09012710909627641,0.09911788252490147,0.731120110283988,-4.841874850047445,0.3357526526578429,0.055948428798089714,0.009906003295518826,0.8836387236802307,0.8373841855796273
0.09,-1.480529411620581,1.0589198400860285,0.3032221315714693,0.14554606878622278,0.10143108694691742,0.7502763011445179,-4.841874850047445,0.35220813361635417,0.05604231094405506,0.017008752676690723,0.887397084109248,0.8508228884173258
0.09999999999999999,-1.480529411620581,1.0589198400860285,0.3032221315714693,0.2009650284761693,0.10374429136893339,0.7694324920050478,-4.841874850047445,0.3686636145748655,0.0561361930900204,0.024111502057862635,0.8911554445382655,0.8642615912550242
0.11,-1.480529411620581,1.0589198400860285,0.3032221315714693,0.22461953646180174,0.10495834353900726,0.7748951731547948,-4.841874850047445,0.5068970414198279,0.06069634847417384,0.03668786239484107,1.1339609268917594,0.8922818278352803
0.12,-1.480529411620581,1.0589198400860285,0.3032221315714693,0.2373207852390501,0.10579337769117009,0.7756359544042719,-4.841874850047445,0.6871228633980493,0.06679659807839214,0.0511516747855459,1.4591964512881757,0.9253301794991771
0.13,-1.480529411620581,1.0589198400860285,0.3032221315714693,0.2570992976793449,0.11177762852206154,0.7762897917844982,-4.841874850047445,0.8398603089915061,0.07217828893376786,0.06358749427333248,1.7298616665073132,0.9526011322559467
0.14,-1.480529411620581,1.0589198400860285,0.3032221315714693,0.30923101543642323,0.14130115559856948,0.7765461714767208,-4.841874850047445,0.8669366053974666,0.07427513979443463,0.06675248906206406,1.7510626112017436,0.9534611185801349
0.15000000000000002,-1.480529411620581,1.0589198400860285,0.3032221315714693,0.3613627331935015,0.17082468267507733,0.7768025511689434,-4.841874850047445,0.8940129018034273,0.0763719906551014,0.06991748385079563,1.7722635558961741,0.9543211049043232
0.16,-1.480529411620581,1.0589198400860285,0.3032221315714693,0.41307239300647,0.18380409181904508,0.7801606582386256,-4.841874850047445,1.074476964833249,0.08287861535572094,0.07764181450909106,1.9258216658480456,0.9546518688751648
0.17,-1.480529411620581,1.0589198400860285,0.3032221315714693,0.46451826660437007,0.18644342725517532,0.7854573449192199,-4.841874850047445,1.3508083820029841,0.09214134870631097,0.08821573008586392,2.1621030040858176,0.9546518688751648
0.18000000000000002,-1.480529411620581,1.0589198400860285,0.3032221315714693,0.5137712140282591,0.18967257575535773,0.7916374978364554,-4.841874850047445,1.612968957266578,0.10304186904354241,0.09902777586413716,2.4168039687412493,0.9547123614868624
0.19,-1.480529411620581,1.0589198400860285,0.3032221315714693,0.5224550272329451,0.2038132659405039,0.814161776131548,-4.841874850047445,1.612968957266578,0.14424144863363564,0.11424523037016657,3.0122680221233193,0.9558919674149657
0.2,-1.480529411620581,1.0589198400860285,0.3032221315714693,0.5311388404376312,0.2179539561256502,0.8366860544266408,-4.841874850047445,1.612968957266578,0.18544102822372918,0.12946268487619608,3.607732075505394,0.9570715733430689
0.21000000000000002,-1.480529411620581,1.0589198400860285,0.3032221315714693,0.5376149919740503,0.2891455782578074,0.8790239845266816,-4.841874850047445,1.6130357271098075,0.21215130384463846,0.14579188163155857,5.129070403014721,0.9582286115254249
0.22,-1.480529411620581,1.0589198400860285,0.3032221315714693,0.5417672891228198,0.4203908129657643,0.9422183902108778,-4.841874850047445,1.6131727809985419,0.22360968055061708,0.16329133338621887,7.625013229605345,0.9593618941859416
0.23,-1.480529411620581,1.0589198400860285,0.3032221315714693,0.5459195862715893,0.5516360476737219,1.0054127958950743,-4.841874850047445,1.6133098348872763,0.23506805725659574,0.18079078514087923,10.120956056195983,0.9604951768464585
0.24000000000000002,-1.4088793683411793,1.7650857656663153,0.3032221315714693,0.546249777651788,0.5866038279771947,1.0378286272032942,-3.375654984782253,1.6279607643158247,0.24258202681908933,0.1821368968143146,10.312951658241412,0.9658435833585807
0.25,-1.331258488121828,2.530098851711621,0.3032221315714693,0.5462614602179391,0.6135484870802939,1.0676795773135157,-1.787250130744972,1.6438211833726908,0.24976729578629248,0.1821368968143146,10.312951658241412,0.97154325019167
0.26,-1.2437251342821818,3.020605563564832,0.3032221315714693,0.5464595187773047,0.6315382051166822,1.089677049872181,-0.7669769939968103,1.654801417858422,0.2551539200438408,0.18276373670947077,10.312951658241412,0.9751968827769837
0.27,-1.1384909346920096,3.0209223215035834,0.3032221315714693,0.5469903916102677,0.6335369569625156,1.0976504553744957,-0.7612247809792272,1.657067037038555,0.257328678748434,0.18450993356026296,10.312951658241412,0.9751968827769837
0.28,-1.0332567351018376,3.021239079442335,0.3032221315714693,0.5475212644432307,0.6355357088083489,1.1056238608768105,-0.7554725679616442,1.6593326562186876,0.25950343745302723,0.18625613041105513,10.312951658241412,0.9751968827769837
0.29000000000000004,-1.0098265405526619,3.0223728614551484,0.4550056182119952,0.5545576791210095,0.6462048135046792,1.1082494508583207,-0.744684904711978,1.6676578075933073,0.26197389873266935,0.18886759615860732,10.312951658241412,0.9760263883260355
0.3,-1.0075070569818074,3.0237174883903006,0.645959036888783,0.5632729433071277,0.6591114286140408,1.1094949594151073,-0.7325977704346776,1.677546709211665,0.26452067035425963,0.19170235710532335,10.312951658241412,0.9770699598232296
0.31,-1.0054043145042852,3.0466146920551878,0.7929056228939018,0.603243536783314,0.6690806965615057,1.1114105140240598,-0.7089364917128523,1.6853385324209829,0.26778695869791347,0.19395593548235696,10.312951658241412,0.9798622016065422
0.32,-1.0040240423378717,3.1413538181525253,0.7931627666601178,0.7473985612263944,0.6692588073026473,1.1155595554735651,-0.6466947315092777,1.6861400942668334,0.27345163611511253,0.19427223862711568,10.312951658241412,0.988483344343583
0.33,-1.0026437701714583,3.2360929442498634,0.7934199104263339,0.8915535856694747,0.6694369180437889,1.1197085969230705,-0.584452971305703,1.6869416561126842,0.27911631353231164,0.19458854177187437,10.312951658241412,0.9971044870806237
0.34,-0.9914217990553948,3.303884114666333,0.7939659852211666,1.220901340239739,0.6696236480247335,1.1223397360744964,-0.5627678927250398,1.6872088433946344,0.28784631407073225,0.19469397615346062,10.312951658241412,1.0051279167446174
0.35000000000000003,-0.9752789784645066,3.358201307242368,0.7946565255303076,1.6428454598735904,0.6698146876255796,1.124211924076883,-0.561361154955832,1.6872088433946344,0.2981089761697635,0.19469397615346062,10.312951658241412,1.0128524898720876
0.36000000000000004,-0.9506122561385721,3.4486323097349736,0.8017144017552732,2.03273531284837,0.6754642591884323,1.1266493347126119,-0.5597923301471925,1.69447639197991,0.3073296666995394,0.1947650206436853,10.312951658241412,1.0202253758309567
0.37,-0.8513613936309966,3.8550591489975146,0.8644864672436943,2.1421503325562186,0.7288759854188348,1.134032443390082,-0.5568052437435251,1.7653349906863376,0.30743310599832985,0.19545770442337604,10.312951658241412,1.0245209990645625
0.38,-0.7521105311234197,4.261485988260061,0.9272585327321161,2.251565352264068,0.7822877116492382,1.1414155520675522,-0.5538181573398578,1.8361935893927661,0.3075365452971203,0.19615038820306677,10.312951658241412,1.0288166222981685
